,LCA_UB,EP_Global,EP_Renew,EP_Nonrenew,EP_Renew_Onsite,CO2,FRA,GER,ENG
0,234.0,1.24,0.00902,1.23,0.0,0.301,Mazout EL,Heizöl EL,Oil EL
1,137.0,1.07,0.00447,1.06,0.0,0.228,Gaz naturel,Erdgas,Natural gas
2,200.0,1.16,0.00841,1.15,0.0,0.273,Propane/butane,Propan/Butan,Propane/butane
3,477.0,1.47,0.0132,1.45,0.0,0.439,Coke de houille,Kohle Koks,Coal coke
4,456.0,1.2,0.00831,1.2,0.0,0.399,Briquette de houille,Kohle Brikett,Briquette of coal
5,93.1,1.11,0.994,0.116,0.0,0.0274,Bûches de bois,Stückholz,Logs of wood
6,88.2,1.11,0.994,0.119,0.0,0.0275,Bûches de bois avec filtre à particules,Stückholz mit Partikelfilter,Logs of wood with particle filter
7,80.8,1.11,1.05,0.0628,0.0,0.0107,Particules de bois,Holzschnitzel,Particles of wood
8,73.7,1.12,1.05,0.0651,0.0,0.0108,Particules de bois avec filtre à particules,Holzschnitzel mit Partikelfilter,Particles of wood with particle filter
9,81.1,1.2,1.04,0.157,0.0,0.0272,Granules (pellets),Pellets,Pellets
10,76.8,1.2,1.04,0.16,0.0,0.0273,Granules (pellets) avec filtre à particules,Pellets mit Partikelfilter,Pellets with particle filter
11,109.0,0.332,0.0321,0.299,0.0,0.13,Biogaz,Biogas,biogas
12,109.0,0.332,0.0321,0.299,0.0,0.13,Biogaz,Biogas,biogas
13,309.0,0.811,0.0773,0.733,0.0,0.358,Biogaz,Biogas,biogas
14,309.0,0.811,0.0773,0.733,0.0,0.358,Biogaz,Biogas,biogas
15,341.0,1.7,0.0155,1.68,0.0,0.408,Centrale de chauffage - pétrole,Heizzentrale Oel,Central heating oil
16,194.0,1.52,0.0147,1.51,0.0,0.314,Centrale de chauffage - gaz,Heizzentrale Gas,Central heating gas
17,120.0,1.72,1.58,0.143,0.0,0.0496,Centrale de chauffage - bois,Heizzentrale Holz,Central heating wood
18,102.0,1.46,1.33,0.128,0.0,0.0423,Centrale à cogénération - bois,Heizkraftwerk Holz,Cogeneration (CHP) plant wood
19,102.0,1.46,1.33,0.128,0.0,0.0423,Centrale à cogénération - bois,Heizkraftwerk Holz,Cogeneration (CHP) plant - wood
20,295.0,3.88,3.64,0.24,0.0,0.118,Centrale à cogénération - bois,Heizkraftwerk Holz,Cogeneration (CHP) plant wood
21,295.0,3.88,3.64,0.24,0.0,0.118,Centrale à cogénération - bois,Heizkraftwerk Holz,Cogeneration (CHP) plant - wood
22,186.0,2.13,0.991,1.14,0.0,0.078,Centrale de chauffage PACE - air/eau (COPA 2.8),Heizzentrale EWP Luft/Wasser (JAZ 2.8),Central Heating Heat Pump air / water (COPA 2.8)
