technology;price_type;unit;price_chf_1;price_chf_0;lim_min;lim_max;order_formula;remarque;reference
roof_isol;CAPEX; cm_width_by_m2;35.3;3.57;10;25;1;;E.Jochem, Kosten und Nutzen Warmeschutz bei Wohnbaut, BFE, 2004
wall_isol;CAPEX; cm_width_by_m2;39;3.25;10;25;1;;E.Jochem, Kosten und Nutzen Warmeschutz bei Wohnbaut, BFE, 2004
window_isol;CAPEX; cm_width_by_m2;473;-161;0.4;1.6;1;Windows >5.5m2;E.Jochem, Kosten und Nutzen Warmeschutz bei Wohnbaut, BFE, 2004
gas;purchase;kWh;0;0.011;0;100000;1;;"Planair, Thermoreseau de SATOM SA; Comparaison de prix de chauffage, 2015"
oil;purchase;kWh;0;0.09;0;100000;1;;Loic Quiquerez, Thesis, University of Geneva, 2017
electricity;purchase;kWh;0;0.16;0;100000;1;;Loic Quiquerez, Thesis, University of Geneva, 2017
electricity_sale;sale;kWh;0;0.105;0;100000;1;;E.Jochem, Kosten und Nutzen Warmeschutz bei Wohnbaut, BFE, 2004
oil_boiler;CAPEX;kW;20190;237;5;500;1;;"Planair, Thermoreseau de SATOM SA; Comparaison de prix de chauffage, 2015"
gas_boiler;CAPEX;kW;17140;179;5;500;1;;"Planair, Thermoreseau de SATOM SA; Comparaison de prix de chauffage, 2015"
heat_pump_air_water;CAPEX;kW;18000;2000;5;300;1;;S. Perch-Nielsen et al., Prix des pompes a chaleur air-eau, Ernst Basler + Partner, 2015
cogen;CAPEX;kW;25760;675;15;100;1;;estimation from BHKW website + installation cost from ESR
thermal_panel;CAPEX;m2;0;2200;0;700;1;;Swissolar, Fiche d'information: Chaleur solaire 2017
pv_panel_small;CAPEX;m2;0;550;0;100;1;;Websites from Energie 2020, SwissEnergy and helion.ch, 2018
pv_panel_large;CAPEX;m2;0;350;100;700;1;;Websites from Energie 2020, SwissEnergy and helion.ch, 2018
daily_storage_hot_water;CAPEX;m3;3821;2000;500;1500;1;;installation cost uncertain +  Viessmann Liste de prix 2018 - Système de chauffage
daily_storage_heating;CAPEX;m3;1580;1200;20;2500;1;;installation cost uncertain +  Viessmann Liste de prix 2018 - Système de chauffage
seasonal_storage;CAPEX;m3;10000;200;1000;50000;1;;Figure from presentation from P.Vinard, 2016
pipeline_dn_20_open;CAPEX;m;0;308;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_25_open;CAPEX;m;0;313;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_32_open;CAPEX;m;0;340;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_40_open;CAPEX;m;0;355;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_50_open;CAPEX;m;0;400;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_65_open;CAPEX;m;0;442;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_80_open;CAPEX;m;0;500;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_100_open;CAPEX;m;0;645;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_125_open;CAPEX;m;0;798;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_150_open;CAPEX;m;0;956;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_200_open;CAPEX;m;0;1141;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_250_open;CAPEX;m;0;1569;0;100000;1;open field;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_20_street;CAPEX;m;0;391;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_25_street;CAPEX;m;0;396;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_32_street;CAPEX;m;0;422;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_40_street;CAPEX;m;0;437;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_50_street;CAPEX;m;0;495;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_65_street;CAPEX;m;0;537;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_80_street;CAPEX;m;0;616;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_100_street;CAPEX;m;0;760;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
pipeline_dn_125_street;CAPEX;m;0;913;0;100000;1;street;T. Nussbaumer et al., Influence of system design on heat distribution costs in district heating, Energy, vol.101, 2016
